,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2017-05-1,,,,,,,,,,,,,,,,,,,,
,2017-05-2,,,,,,,,,,,,,,,,,,,,
,2017-05-3,,,,,,,,,,,,,,,,,,,,
,2017-05-4,,,,,,,,,,,,,,,,,,,,
,2017-05-5,,,,,,,,,,,,,,,,,,,,
,2017-05-6,,,,,,,,,,,,,,,,,,,,
,2017-05-7,,,,,,,,,,,,,,,,,,,,
,2017-05-8,,,,,,,,,,,,,,,16.2,51,,SE,7,1030.5
,2017-05-9,,18.1,,,,E,19,09:41,12.5,72,,NE,9,1030.0,17.8,54,,SW,11,1026.2
,2017-05-10,5.3,20.5,0,,,NE,20,08:17,13.8,63,,NNE,7,1027.3,20.0,38,,NNW,4,1023.7
,2017-05-11,7.3,20.2,0,,,E,19,20:00,13.1,63,,NE,11,1026.6,18.9,50,,WSW,9,1024.2
,2017-05-12,6.0,21.8,0,,,ENE,26,22:42,14.5,60,, ,Calm,1025.6,20.9,36,,E,7,1021.8
,2017-05-13,8.3,21.1,0,,,E,22,10:59,16.4,54,, ,Calm,1023.1,20.7,33,,N,6,1021.0
,2017-05-14,6.8,20.8,0,,,WSW,24,13:16,15.4,59,, ,Calm,1023.4,18.9,43,,SW,13,1021.0
,2017-05-15,6.8,22.3,0,,,ENE,28,20:16,13.3,62,, ,Calm,1020.9,20.5,41,, ,Calm,1017.0
,2017-05-16,13.2,20.8,0,,,NNE,46,18:13,19.5,32,,NE,15,1013.7,20.3,30,,NW,7,1010.8
