,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,23.8,34.2,0,6.4,10.7,E,39,15:25,28.2,70,2,ESE,11,1014.6,33.4,32,1,E,17,1010.5
,2016-06-2,24.2,34.1,0,6.0,10.7,NE,33,14:42,28.0,69,6,E,17,1013.8,32.1,49,6,NNE,24,1010.0
,2016-06-3,23.5,33.4,0,6.8,10.1,NNW,30,15:05,28.5,75,1,SSE,11,1014.4,31.5,59,2,NNW,19,1010.6
,2016-06-4,24.3,33.3,0,1.6,8.1,W,28,14:09,29.0,74,1,ENE,9,1013.4,32.1,55,1,WNW,15,1009.8
,2016-06-5,25.0,33.5,0,4.8,9.8,WNW,35,15:09,29.1,81,6,S,11,1012.9,32.0,60,2,WNW,24,1009.4
,2016-06-6,24.1,33.3,0,6.6,10.4,W,30,15:59,28.7,74,1,SE,9,1013.9,32.4,54,2,NW,17,1010.3
,2016-06-7,24.0,33.5,0,5.6,10.2,NW,28,14:14,28.8,69,1,SE,9,1013.6,32.3,53,2,WNW,19,1010.1
,2016-06-8,25.0,32.9,0,6.6,8.1,WNW,31,15:04,27.6,83,3,ESE,7,1014.1,31.5,58,2,NW,22,1010.3
,2016-06-9,25.0,33.0,0,6.4,10.5,N,33,15:01,28.8,73,3,E,6,1014.4,32.0,62,2,N,20,1010.8
,2016-06-10,25.0,34.1,0,4.6,10.8,E,35,14:01,28.1,71,2,ENE,17,1015.9,33.0,38,1,SE,9,1012.7
,2016-06-11,23.8,33.9,0,6.8,10.8,E,52,12:13,26.6,60,5,E,24,1016.8,33.4,32,3,ESE,28,1012.3
,2016-06-12,22.9,32.4,0,7.2,10.8,ESE,48,09:48,25.6,41,2,ESE,30,1017.6,31.6,30,5,ESE,28,1013.1
,2016-06-13,22.4,32.5,0,10.4,10.3,SSE,44,04:41,23.7,33,0,SE,28,1016.2,31.3,36,1,E,24,1011.7
,2016-06-14,22.8,33.0,0,9.8,10.6,ESE,48,09:14,26.1,56,0,ESE,30,1014.7,31.6,42,2,ENE,24,1011.2
,2016-06-15,24.4,33.3,0,8.8,10.8,NNE,48,13:13,26.5,63,1,E,26,1014.4,32.2,39,3,NE,28,1011.2
,2016-06-16,24.2,32.8,0,6.0,10.9,ENE,43,10:22,26.7,64,0,E,24,1013.9,31.7,43,2,NNE,24,1009.4
,2016-06-17,23.4,32.9,0,5.0,10.6,NE,33,12:12,27.2,72,7,ENE,20,1012.8,32.3,44,2,N,20,1008.5
,2016-06-18,22.6,32.6,0,5.4,9.2,N,28,14:57,26.3,75,1,SSE,15,1012.7,31.6,54,3,NNW,19,1008.4
,2016-06-19,23.7,33.4,0,5.2,10.7,ESE,33,09:27,26.1,63,0,SE,17,1011.8,32.0,42,2,N,20,1008.0
,2016-06-20,22.6,32.4,0,8.0,10.9,ESE,41,09:49,25.3,51,1,SE,26,1012.4,31.6,32,1,S,15,1008.7
,2016-06-21,17.7,31.3,0,8.0,10.8,ESE,33,10:28,24.6,38,1,E,22,1012.4,30.5,26,1,WSW,11,1008.9
,2016-06-22,19.4,32.6,0,9.4,10.7,SE,31,11:14,23.6,40,1,SE,17,1013.2,31.9,27,1,SE,9,1009.1
,2016-06-23,19.9,33.1,0,8.0,9.5,E,30,10:59,23.9,47,6,SSE,19,1012.6,32.8,35,7,WNW,15,1009.1
,2016-06-24,21.4,33.3,0,6.0,10.6,E,35,12:32,25.8,57,5,SSE,15,1012.4,32.8,45,3,N,15,1009.2
,2016-06-25,22.4,34.1,0,4.0,10.5,E,37,11:30,26.2,63,5,SSE,13,1013.3,33.8,39,4,N,17,1009.7
,2016-06-26,24.0,32.7,0,5.6,7.9,E,31,10:07,25.8,83,8,SSE,13,1013.9,31.4,52,4,NNW,17,1010.0
,2016-06-27,21.5,34.6,0,7.2,10.6,ESE,39,12:57,28.4,69,1,ENE,9,1013.6,33.9,32,2,NW,19,1009.8
,2016-06-28,23.7,33.4,0,5.2,10.9,ESE,48,09:54,26.9,72,0,E,22,1014.7,32.0,42,2,E,26,1011.6
,2016-06-29,22.6,33.0,0,9.4,10.8,ENE,54,13:07,25.1,52,0,ESE,30,1016.7,32.7,33,1,ESE,22,1011.9
,2016-06-30,21.7,33.2,0,6.6,10.7,ESE,35,14:02,26.2,50,0,E,26,1016.4,32.3,33,1,E,20,1011.8
,2016-07-1,23.0,33.2,0,5.6,10.6,ESE,48,13:10,25.3,52,6,ESE,24,1016.2,32.6,18,2,ESE,24,1011.9
,2016-07-2,20.7,32.6,0,6.6,10.9,ESE,52,10:43,24.3,54,1,E,24,1017.3,31.6,27,0,E,24,1012.8
,2016-07-3,20.0,32.0,0,7.0,10.6,E,41,12:25,23.7,33,1,ESE,19,1016.8,31.3,23,0,E,22,1013.0
,2016-07-4,20.9,32.0,0,6.2,10.8,ESE,35,09:52,25.8,59,0,ESE,20,1015.8,30.6,46,1,NW,20,1011.2
,2016-07-5,20.6,33.4,0,7.2,10.5,ESE,41,11:23,25.1,67,1,ESE,17,1015.5,32.1,29,1,S,6,1011.3
,2016-07-6,20.5,33.4,0,6.8,11.0,ENE,41,11:19,23.7,72,0,SE,15,1015.7,32.9,20,0,NNE,19,1011.5
,2016-07-7,21.1,31.8,0,8.8,10.4,E,41,10:24,24.6,48,1,E,24,1015.8,30.1,27,1,ESE,17,1011.8
,2016-07-8,21.1,32.5,0,6.8,10.5,E,43,11:01,24.3,42,5,ENE,22,1015.3,31.9,20,7,E,13,1011.6
,2016-07-9,17.6,32.4,0,6.6,10.9,NNE,33,17:03,23.4,49,2,E,17,1014.8,31.6,33,1,NNE,24,1010.7
,2016-07-10,20.9,32.3,0,5.6,10.8,NW,35,14:38,25.6,77,1,E,15,1014.6,30.9,50,1,NW,22,1010.6
,2016-07-11,21.2,30.6,0,2.6,9.5,N,35,15:45,25.4,81,1,ESE,9,1014.2,29.3,63,2,NNW,19,1010.6
,2016-07-12,22.4,30.5,0,4.0,4.6,SE,35,22:53,26.0,74,2,SSE,13,1013.9,28.8,71,6,N,9,1010.7
,2016-07-13,23.8,30.0,0,4.4,3.8,ESE,48,23:54,24.8,84,6,SE,20,1014.0,28.0,57,6,SE,31,1011.8
,2016-07-14,20.0,29.0,0,7.6,9.7,SE,56,09:42,21.6,56,4,SE,37,1016.6,27.6,38,1,ESE,30,1013.2
,2016-07-15,16.6,28.0,0,8.2,11.1,SE,52,07:35,17.5,57,0,SE,35,1017.2,26.9,32,1,SE,22,1012.0
,2016-07-16,16.4,27.5,0,8.0,11.0,SE,44,08:50,18.4,52,3,SE,31,1017.1,26.4,27,0,SSE,19,1012.8
,2016-07-17,16.5,27.8,0,8.0,11.2,SE,37,06:17,19.9,41,0,ESE,24,1016.4,26.7,27,0,SSW,20,1012.8
,2016-07-18,13.8,29.4,0,5.4,11.1,ESE,33,10:02,20.4,45,0,SSE,17,1014.3,28.7,24,0,NW,20,1010.7
,2016-07-19,16.6,30.6,0,5.0,11.0,NNE,33,14:48,23.2,55,1,ESE,11,1014.1,29.8,32,1,NNE,22,1010.6
,2016-07-20,18.5,30.3,0,9.0,10.9,E,31,08:41,23.6,56,3,E,19,1015.4,28.5,54,0,NNW,19,1011.4
,2016-07-21,18.9,30.7,0,7.6,10.8,NNW,30,14:40,23.6,78,0,E,9,1014.6,28.9,54,1,NNW,19,1011.1
,2016-07-22,19.2,32.0,0,8.2,10.9,W,26,12:30,23.7,69,1,E,4,1013.8,31.0,38,1,NW,19,1010.0
,2016-07-23,21.5,31.9,0,6.6,10.9,W,31,15:04,26.3,71,1,W,7,1013.4,30.9,50,2,NW,19,1009.4
,2016-07-24,21.5,31.6,0,6.6,10.3,N,30,15:09,26.9,72,0,S,7,1013.7,30.7,56,2,N,22,1009.8
,2016-07-25,21.8,33.8,0,4.6,10.4,E,33,12:18,26.2,73,2,SE,13,1013.8,30.3,53,2,NNW,22,1010.0
,2016-07-26,20.3,33.6,0,5.8,11.0,E,43,11:32,26.7,66,1,E,13,1014.0,33.2,19,1,E,20,1010.0
,2016-07-27,19.6,33.3,0,7.6,11.1,E,50,11:31,24.7,64,2,SSE,20,1015.4,32.4,21,1,SE,26,1011.0
,2016-07-28,19.1,32.2,0,8.8,11.0,SE,44,10:19,23.3,32,1,SE,26,1016.6,31.1,19,1,E,19,1011.5
,2016-07-29,20.5,33.3,0,8.6,11.0,SE,41,09:42,23.8,45,1,SSE,20,1014.5,32.2,27,1,SE,24,1010.5
,2016-07-30,18.8,33.6,0,8.2,11.0,E,44,11:13,22.8,34,1,SE,19,1014.3,31.1,37,1,WNW,24,1010.0
,2016-07-31,19.0,32.6,0,8.0,10.9,ENE,35,11:56,23.8,39,1,E,17,1013.5,30.9,30,1,NNW,22,1010.1
,2016-08-1,17.6,31.4,0,6.8,10.7,NW,31,14:57,24.4,60,1,SSW,9,1013.1,30.3,44,1,NW,19,1010.0
,2016-08-2,18.7,32.6,0,4.6,10.8,N,33,12:54,25.1,59,0,ESE,13,1012.3,30.8,48,2,NNW,20,1008.7
,2016-08-3,22.1,31.6,0,8.0,10.9,SE,48,09:58,24.3,25,1,ESE,30,1013.6,30.7,17,0,ESE,11,1011.2
,2016-08-4,18.8,30.6,0,11.6,10.9,ESE,46,08:44,20.5,20,1,SE,31,1014.9,29.3,10,1,SE,13,1011.9
,2016-08-5,13.3,29.4,0,7.2,10.9,E,44,09:43,19.7,23,1,SE,17,1016.2,29.0,11,1,WNW,15,1012.1
,2016-08-6,14.8,29.8,0,7.6,10.7,NW,31,14:34,21.0,48,2,E,22,1016.0,27.9,36,1,NW,22,1011.7
,2016-08-7,15.3,30.0,0,8.2,10.7,NNW,33,14:48,22.5,52,1,E,17,1015.5,28.1,48,2,N,22,1012.1
,2016-08-8,18.7,32.2,0,6.8,4.5,E,39,15:25,23.0,68,7,ESE,9,1016.3,30.8,25,7,ENE,17,1012.0
,2016-08-9,21.0,32.9,0,5.2,10.2,E,39,11:07,25.6,69,5,E,17,1016.0,30.6,38,3,NW,17,1011.4
,2016-08-10,20.5,32.7,0,8.0,11.0,NE,43,09:58,26.0,67,1,NE,20,1015.8,30.8,36,1,NNW,26,1011.7
,2016-08-11,20.9,34.1,0,10.8,10.8,E,39,09:40,26.1,73,1,ENE,19,1015.9,30.0,46,1,N,26,1011.0
,2016-08-12,20.1,34.6,0,6.2,10.8,SE,48,13:39,26.2,70,0,ENE,15,1016.2,33.8,16,1,ENE,17,1011.2
,2016-08-13,19.8,34.3,0,7.4,10.9,ENE,44,15:44,26.5,68,0,ENE,6,1015.9,32.3,36,1,NW,20,1010.8
,2016-08-14,20.7,34.4,0,7.2,11.0,E,48,12:16,26.7,63,2,E,17,1015.9,33.7,17,1,ESE,26,1011.3
,2016-08-15,19.7,34.1,0,8.8,11.1,SE,52,13:10,26.4,34,0,E,13,1015.6,33.4,12,0,SE,24,1011.1
,2016-08-16,17.7,34.2,0,8.6,11.1,ESE,41,10:55,24.3,48,0,SE,15,1015.3,32.0,26,2,NNW,24,1010.9
