,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,2.5,16.9,0,,,NNE,13,12:42,5.4,96,, ,Calm,1029.3,15.0,71,,NE,7,1026.8
,2016-06-2,3.7,12.2,0.2,,,ESE,9,10:27,7.5,96,, ,Calm,1028.3,11.9,93,,N,4,1025.8
,2016-06-3,4.0,15.3,0,,,ESE,20,14:56,7.9,97,, ,Calm,1026.0,15.0,76,,ESE,11,1022.2
,2016-06-4,7.8,14.8,4.8,,,SE,15,14:40,12.3,97,,ESE,4,1017.2,14.8,93,,SE,9,1012.5
,2016-06-5,12.3,15.1,0.6,,,W,17,15:46,13.0,96,,NW,9,1005.7,14.9,93,,WNW,6,1002.7
,2016-06-6,5.4,15.5,0.6,,,N,28,15:28,9.3,94,,NNE,4,1000.9,15.2,62,,N,17,999.7
,2016-06-7,9.0,15.7,0.2,,,WNW,43,23:02,11.1,95,,WNW,20,1000.8,15.0,89,,W,24,1000.7
,2016-06-8,10.5,14.7,0.6,,,NW,39,03:30,11.3,92,,NNW,17,1007.6,13.9,78,,N,15,1003.9
,2016-06-9,9.9,16.6,4.6,,,WNW,56,12:52,13.2,85,,NW,13,999.6,15.4,85,,WNW,22,1002.9
,2016-06-10,8.3,15.6,0,,,NW,50,14:59,9.7,80,,N,9,1016.0,15.1,62,,NW,30,1014.7
,2016-06-11,7.8,13.1,1.6,,,WSW,43,12:01,9.4,93,,W,17,1023.2,11.4,62,,WSW,11,1027.5
