,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2016-06-1,4.8,17.0,0,1.4,6.8,NE,13,02:14,6.4,83,7,NNE,9,1029.3,15.4,61,6,SSW,7,1026.7
,2016-06-2,4.8,12.8,0,1.2,8.8,SSW,15,13:08,6.8,90,3,NNE,9,1028.4,11.8,83,7,SSW,6,1025.5
,2016-06-3,6.8,14.1,0,0.8,4.7,SSW,15,11:39,9.8,89,8,N,2,1025.9,13.4,73,7,SSW,4,1022.2
,2016-06-4,9.8,13.4,6.2,1.0,0.0,NNE,11,04:49,11.4,100,8, ,Calm,1017.2,12.8,100,8,SSW,2,1011.9
,2016-06-5,10.5,14.1,3.4,1.4,0.3,NNE,15,02:33,11.6,100,8, ,Calm,1006.0,13.9,99,8,SSW,2,1002.7
,2016-06-6,8.9,14.5,1.4,1.6,6.1,N,39,13:54,10.8,81,3,N,17,1001.9,13.5,70,5,N,19,1000.7
,2016-06-7,10.5,15.3,0,1.0,0.4,WSW,31,18:12,12.4,74,5,NW,11,1001.7,15.2,78,7,WNW,13,1001.2
,2016-06-8,9.7,14.7,1.2,0.8,0.0,N,54,12:43,11.1,85,8,N,17,1008.6,12.9,82,7,N,19,1004.9
,2016-06-9,10.8,17.5,1.4,0.8,5.9,N,41,11:21,14.4,72,3,N,11,1000.7,16.9,57,6,NW,13,1003.2
,2016-06-10,10.4,15.8,0,2.0,4.3,NNW,39,13:56,11.4,61,7,N,15,1017.1,15.0,59,7,NNW,17,1016.1
,2016-06-11,9.0,13.5,3.0,3.6,4.7,SSW,33,13:04,10.5,77,7,NW,9,1023.2,11.2,57,5,SSW,13,1027.4
,2016-06-12,5.0,13.8,0.6,2.0,4.5,W,19,12:06,7.4,81,7,NE,7,1037.0,13.3,51,4,SSW,9,1035.7
,2016-06-13,3.8,13.4,0,1.0,9.2,NNW,48,11:35,8.7,71,6,NNW,20,1037.2,13.2,54,2,N,22,1032.7
,2016-06-14,8.6,15.6,0,2.4,9.2,N,35,07:35,10.4,71,7,N,19,1034.6,14.9,55,6,N,17,1033.2
,2016-06-15,6.0,17.9,0,3.0,8.0,N,19,19:57,7.9,81,1,NNE,9,1032.9,16.9,53,1,SSE,6,1028.3
,2016-06-16,7.8,14.3,0,2.0,0.1,N,43,10:03,9.4,72,7,N,15,1020.8,11.8,84,7,N,9,1015.1
,2016-06-17,9.3,15.1,4.2,1.2,0.2,N,26,05:28,14.3,84,7,N,11,1011.3,14.9,91,7,N,6,1011.3
,2016-06-18,10.0,12.7,8.6,2.2,0.0,SSE,26,01:25,10.6,95,8, ,Calm,1020.7,11.9,77,7,S,7,1020.0
,2016-06-19,7.3,13.5,0.4,0.6,1.4,SSE,24,22:53,9.2,93,7, ,Calm,1019.6,11.5,79,8,SSW,7,1014.6
,2016-06-20,9.1,13.2,3.6,1.4,0.0,SSE,31,05:56,12.8,100,8,S,9,1005.6,12.7,94,8,SSW,13,1003.6
,2016-06-21,10.4,14.7,3.2,0.6,3.5,N,46,14:14,12.5,76,7,N,13,1000.8,13.7,69,5,NNW,20,996.9
,2016-06-22,11.2,15.4,0,2.0,4.5,NW,39,13:04,11.9,67,3,NNW,13,1003.6,13.2,68,7,WNW,11,1004.6
,2016-06-23,10.4,14.8,0.6,3.4,3.0,N,61,12:37,11.7,74,3,N,22,1003.2,13.9,60,7,N,33,997.3
,2016-06-24,6.9,10.7,13.8,3.8,4.5,W,44,13:43,8.2,71,7,W,13,1003.0,8.4,65,5,W,17,1008.7
,2016-06-25,5.6,12.7,2.0,0.6,4.9,W,24,01:51,6.6,75,7,NW,6,1022.9,11.6,68,5,SSW,7,1022.1
